drrip,st,1,bfs-3.trace.gz,
-----------------------,
-----------------------,
-----------------------,
lru,st,2,bfs-3.trace.gz,0.289191
-----------------------,L1D TOTAL ACCESS: 2089666 HIT: 1775160 MISS: 314506
-----------------------,L2C TOTAL ACCESS: 369665 HIT: 185222 MISS: 184443
-----------------------,LLC TOTAL ACCESS: 237886 HIT: 58084 MISS: 179802
lfu,st,2,bfs-3.trace.gz,
-----------------------,
-----------------------,
-----------------------,
fifo,st,2,bfs-3.trace.gz,
-----------------------,
-----------------------,
-----------------------,
random,st,2,bfs-3.trace.gz,
-----------------------,
-----------------------,
-----------------------,
drrip,st,2,bfs-3.trace.gz,
-----------------------,
-----------------------,
-----------------------,
lru,st,3,bfs-3.trace.gz,0.289191
-----------------------,L1D TOTAL ACCESS: 2089666 HIT: 1775160 MISS: 314506
-----------------------,L2C TOTAL ACCESS: 369665 HIT: 185222 MISS: 184443
-----------------------,LLC TOTAL ACCESS: 237886 HIT: 58084 MISS: 179802
lfu,st,3,bfs-3.trace.gz,
-----------------------,
-----------------------,
-----------------------,
fifo,st,3,bfs-3.trace.gz,
-----------------------,
-----------------------,
-----------------------,
random,st,3,bfs-3.trace.gz,
-----------------------,
-----------------------,
-----------------------,
drrip,st,3,bfs-3.trace.gz,
-----------------------,
-----------------------,
-----------------------,
